Code,Type,Resource,Unit,Base rate GBP,Factor,Rate EUR,Scope,Used on,Source group
M116,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C10 (continued); 40 mm aggregate,m3,164.13,1.0,191.9336,Shared,0,CLASS F: IN SITU CONCRETE
M117,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C15; 10 mm aggregate,m3,155.84,1.0,182.2393,Shared,0,CLASS F: IN SITU CONCRETE
M118,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C15; 20 mm aggregate,m3,166.38,1.0,194.5648,Shared,0,CLASS F: IN SITU CONCRETE
M119,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C15; 40 mm aggregate,m3,164.46,1.0,192.3195,Shared,0,CLASS F: IN SITU CONCRETE
M120,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C20; 10 mm aggregate,m3,161.65,1.0,189.0335,Shared,0,CLASS F: IN SITU CONCRETE
M121,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C20; 20 mm aggregate,m3,167.13,1.0,195.4418,Shared,0,CLASS F: IN SITU CONCRETE
M122,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C20; 40 mm aggregate,m3,164.94,1.0,192.8808,Shared,0,CLASS F: IN SITU CONCRETE
M123,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C25; 10 mm aggregate,m3,176.13,1.0,205.9664,Shared,0,CLASS F: IN SITU CONCRETE
M124,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C25; 20 mm aggregate,m3,171.04,1.0,200.0142,Shared,0,CLASS F: IN SITU CONCRETE
M125,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C25; 40 mm aggregate,m3,176.18,1.0,206.0249,Shared,0,CLASS F: IN SITU CONCRETE
M126,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C30; 10 mm aggregate,m3,187.82,1.0,219.6367,Shared,0,CLASS F: IN SITU CONCRETE
M127,Material,Designed mix; sulphate-resisting cement to BS 4027; Grade C30; 20 mm aggregate,m3,192.34,1.0,224.9224,Shared,0,CLASS F: IN SITU CONCRETE
