Item ref,Class,Section,Sub-heading,Item,Item unit,Line,Type,Code,Resource,Qty,Qty unit,Rate EUR,Line cost EUR,Crew / spread
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,5,Plant,P045,8 tonne wheeled backacter,1.204549,hr,84.6646,101.98,Plant Resources Build-up Rate; Trial holes
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,6,Plant,P028,3 tonne dumper,1.204549,hr,24.6393,29.68,Plant Resources Build-up Rate; Trial holes
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,7,Plant,P031,"3.7 m3/min compressor, 2 tool",1.204549,hr,24.8147,29.89,Plant Resources Build-up Rate; Trial holes
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,8,Plant,P021,2.4 m3/min road breakers,2.409098,hr,9.706,23.38,Plant Resources Build-up Rate; Trial holes
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,9,Plant,P067,extra 50 ft / 15 m hose,1.204549,hr,0.6198,0.75,Plant Resources Build-up Rate; Trial holes
130,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by number; Excavating trial hole in rock or similar; plan size 1.0 x 2.0 m; supports, backfilling",over 2.0 m deep,nr,10,Plant,P079,plate compactors; vibrating compaction; plate 180 kg/ 600 mm,1.204549,hr,5.7534,6.93,Plant Resources Build-up Rate; Trial holes
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,1,Labour,L011,ganger/chargehand (skill rate 4),0.217833,hr,49.2431,10.73,Labour Gang Build-up Rate; Trial hole gang
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,2,Labour,L019,skilled operative (skill rate 4),0.217833,hr,46.2624,10.08,Labour Gang Build-up Rate; Trial hole gang
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,3,Labour,L023,unskilled operative (general),0.435667,hr,38.7141,16.87,Labour Gang Build-up Rate; Trial hole gang
132,CLASS B: GROUND INVESTIGATION,01 TRIAL PITS AND TRENCHES,"Trial holes measured by depth; Excavating trial hole; plan size 1.0 x 2.0 m; supports, backfilling",ne 1.0 m deep,m,4,Labour,L016,plant operator (skill rate 3),0.217833,hr,61.1185,13.31,Labour Gang Build-up Rate; Trial hole gang
